name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,r1_3_1,r1_3_2,r1_3_3,r1_3_4,r1_3_5,r1_4_1,r1_4_2,r1_4_3,r1_4_4,r1_5_1,r1_5_2,r1_5_3,r1_5_4,r1_5_5,r1_6_1,r1_6_2,r1_6_3,r1_6_4,r1_6_5
Lap3,26.94503,27.07674,27.06445,27.23462,26.64842,27.01574,26.38819,23.76931,25.51623,26.02587,21.81635,25.79679,25.87558,25.81902,25.48656,26.74881,25.83937,26.18278,25.77633,25.47352,25.88521,25.95382,25.32261,25.17455,25.25296,25.65119,25.0357,26.1865,25.0398
Pltp,23.9419,25.6413,24.46886,25.46911,25.50664,26.29139,26.55814,25.83067,26.58463,26.12637,24.81744,24.11074,25.83497,25.33487,25.09208,25.82192,18.499,25.74745,25.8794,24.82163,25.32444,24.95695,25.45826,25.5979,25.87961,25.93321,25.60772,25.1343,25.38275
Rpl7,21.78692,19.86979,23.6871,22.76606,23.32237,23.87418,24.21948,21.97274,22.11752,23.82338,22.34755,22.9801,22.50452,23.93373,23.86127,23.94485,24.40886,23.72827,24.30236,24.20344,21.63092,25.79491,24.73733,22.39953,24.02657,23.74016,23.80963,23.53267,23.9693
Il1rap,25.91098,25.51189,25.29971,25.80747,25.41209,25.93245,25.93022,26.92411,26.18147,26.15569,25.85709,25.05466,25.31105,25.82508,25.11211,25.49689,26.2301,25.98659,25.96853,25.62213,25.676,26.0599,26.14802,25.67896,25.79449,25.46264,25.62308,25.42557,26.20242
Amy2a2,26.34398,26.18507,26.32565,25.99936,26.02848,25.71971,26.35991,25.97233,24.5756,26.16141,24.6053,24.37358,24.18306,23.98029,23.66014,26.56043,24.05871,26.80058,26.98109,25.40106,24.55988,24.82172,25.33402,24.9157,24.69609,25.05668,24.54197,24.8042,25.46051
Psma2,24.31672,22.65938,22.56767,23.48468,23.47457,22.37215,23.09468,22.49483,22.12788,24.62773,23.45839,23.02142,22.38905,23.40691,22.92074,22.38408,21.60094,21.68915,22.14495,24.26564,25.36456,24.39624,23.83615,23.92796,23.95863,23.23291,23.78915,24.27277,23.38588
Katnal2,22.73591,22.24841,22.6385,22.46306,22.40265,23.81939,25.12617,24.52289,24.02386,23.6699,21.57306,22.38563,21.79343,21.70147,21.3207,23.09536,23.6609,23.38653,23.41609,23.66471,24.44702,23.80223,23.60116,23.26542,23.13058,23.3377,23.5064,22.62507,22.97715
Mug1,36.10875,36.16367,36.20485,36.18833,36.01403,36.05902,36.03989,36.05365,36.07471,36.16148,35.39484,35.34919,35.36633,35.28664,35.39723,36.29575,36.77203,36.36243,36.41771,35.78217,35.84013,35.76762,35.68607,35.7501,35.58511,35.42483,35.37419,35.34497,35.39997
Amy1,26.34398,26.18507,26.32565,25.99936,26.02848,25.71971,26.35991,25.97233,24.5756,26.16141,24.6053,24.37358,24.18306,23.98029,23.66014,26.56043,24.05871,26.80058,26.98109,25.40106,24.55988,24.82172,25.33402,24.9157,24.69609,25.05668,24.54197,24.8042,25.46051
Bpifa2,22.39556,19.88823,22.04291,22.70373,23.06102,21.61149,21.89865,23.30849,21.91969,21.93889,24.48112,25.17756,24.16928,25.07357,25.64323,23.10509,23.2939,23.35944,22.94473,21.22541,22.39079,21.64044,23.75125,21.43854,21.73944,23.2613,22.94031,20.41007,23.36227
Colec11,26.23996,26.23411,25.85583,26.36331,26.19719,25.90104,25.80651,26.18357,26.37416,26.39062,25.03103,25.90392,21.74199,26.12843,20.23665,24.92687,25.25306,25.0646,24.66275,25.65706,24.99187,26.28516,26.04124,26.42964,27.18612,26.58663,26.49598,27.06157,26.15638
Angptl6,24.44462,24.9208,24.7896,24.60433,25.33163,24.69832,26.40137,26.28129,24.738,25.47125,25.32742,25.5513,26.05418,25.58749,26.08792,24.38535,23.51797,23.44935,24.42381,25.86337,24.26499,26.97607,26.44069,26.27452,27.3794,27.68639,26.22398,28.36936,27.01977
Cpn1,29.2902,28.83545,29.13261,28.76091,28.80203,28.87256,29.11476,29.77596,29.06618,29.12647,27.76218,27.78793,27.59498,27.21058,27.41329,28.88201,29.49579,29.03263,29.38255,28.50971,28.43456,28.376,28.76778,28.63215,28.30665,28.27857,28.13173,28.03931,28.0577
Ces1c,31.80605,31.49734,31.61263,31.22136,31.02598,31.91574,32.01215,32.28923,32.05342,32.14328,31.39698,31.571,31.40588,31.4863,31.57488,31.48025,32.73584,32.05417,32.11247,31.58857,31.81715,31.65902,31.65421,31.67733,31.82983,31.41649,31.5454,31.54527,31.47784
Cpn2,31.18341,30.86938,30.80901,30.75875,30.80062,30.33522,30.5229,31.03065,30.40852,30.40111,29.5132,29.46439,29.65852,29.55972,29.73114,30.89106,31.50843,30.58495,30.95387,29.9698,29.78826,29.96733,30.01412,29.89732,29.82394,29.38224,29.51786,29.65881,29.63012
Mup19,29.22706,28.81791,29.01752,28.60671,28.76243,27.99631,28.17836,28.95399,28.26557,28.15277,28.71394,28.51766,28.40215,28.09854,28.99868,27.64794,28.35997,27.50196,27.91336,26.44637,26.98696,26.09033,26.22428,26.7166,28.07465,27.87941,28.17126,27.81103,28.16768
Mup18,29.22706,28.81791,29.01752,28.60671,28.76243,27.99631,28.17836,28.95399,28.26557,28.15277,28.71394,28.51766,28.40215,28.09854,28.99868,27.64794,28.35997,27.50196,27.91336,26.44637,26.98696,26.09033,26.22428,26.7166,28.07465,27.87941,28.17126,27.81103,28.16768
Mup17,25.50984,26.77869,27.54281,25.25198,26.57816,25.68667,25.34875,24.71811,25.50715,24.37195,26.49325,27.31812,27.4342,28.56231,27.50544,22.75022,26.1755,20.27513,25.4841,23.27918,25.72591,25.48827,25.34293,25.5106,26.99075,28.20499,27.37807,27.69909,27.89499
H2-Q10,31.02538,30.60072,30.84954,30.49762,30.38751,31.54632,31.30443,31.91396,31.58714,31.51018,30.80432,30.53027,30.74511,30.58951,30.40243,30.76406,31.71763,30.68102,30.81245,30.73473,30.76722,30.96485,30.46246,30.68854,30.48424,30.44312,30.34604,30.82926,30.64324
Mup12,29.22706,28.81791,29.01752,28.60671,28.76243,27.99631,28.17836,28.95399,28.26557,28.15277,28.71394,28.51766,28.40215,28.09854,28.99868,27.64794,28.35997,27.50196,27.91336,26.44637,26.98696,26.09033,26.22428,26.7166,28.07465,27.87941,28.17126,27.81103,28.16768
Emilin1,22.30167,24.80302,24.48302,24.1149,24.79045,24.97614,24.90284,21.50253,24.18177,24.88413,23.48001,24.19841,24.02943,21.62717,23.89291,24.18192,24.92112,24.07936,24.14872,24.65905,24.55233,25.25911,24.11934,25.20423,24.78786,24.3181,24.55028,25.30456,25.12171
Hba-a2,33.41072,32.86679,32.79543,32.82943,32.93859,34.64919,34.67677,35.09753,34.6358,34.56138,33.38046,33.20462,33.11107,32.9029,32.98544,34.48783,35.23866,34.1227,34.34929,34.61511,34.39643,34.83653,34.7486,34.96254,33.98685,34.27628,33.87179,34.09938,34.00169
Tcn2,22.03066,21.66154,21.46976,23.60162,20.78213,21.46064,21.94669,22.75937,21.52535,21.2854,20.76943,21.30773,21.59819,21.01842,20.75849,21.59641,21.55586,20.97173,23.08544,20.58674,20.77563,20.92071,20.64438,20.85871,20.92005,20.81894,21.14457,21.09223,20.17974
Man2b1,24.50215,24.66747,25.22129,23.66036,24.91871,24.90545,24.02284,26.20628,23.80823,25.11104,24.30612,23.4706,22.92673,22.96932,23.23547,25.72783,25.28122,25.91614,25.71929,23.74632,24.10478,23.69147,24.04368,24.02766,23.76668,24.3579,23.51027,23.69965,23.45337
Cir1,23.79937,23.78267,24.07292,23.32031,23.58909,23.70314,24.16116,24.69232,23.84153,24.05209,22.46869,23.74781,20.73505,23.05601,22.44888,23.31672,24.05672,21.78644,24.22825,21.09075,22.191,21.72138,23.92098,24.4851,23.25965,22.47267,21.56291,22.07957,22.46641
