name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FoldCh
Cat,25.98954,28.21956,28.67684,28.39954,26.6599,29.8532,29.97062,27.65465,29.1898,29.52236,1.64905
F2,31.88041,31.55096,31.63348,31.60673,31.4886,31.42021,31.72602,32.22587,31.81337,31.85274,0.175606
Car2,26.05928,26.12631,26.32402,25.98446,23.74909,26.78307,29.91428,24.18835,29.67713,22.73511,1.010956
Bche,21.90514,22.82074,23.07063,22.40802,20.82058,20.88591,21.62386,19.73319,19.42493,22.28868,-1.413708
Ambp,29.27026,28.94397,28.65854,29.01193,28.95396,28.53975,28.51153,29.34278,28.7019,28.80523,-0.187494
Orm1,23.30354,22.41887,22.85291,22.0459,22.90947,22.80792,23.76699,22.12925,23.64878,19.71789,-0.291972
Vcp,24.27355,23.54828,25.32893,25.01278,24.42143,27.20331,27.73705,28.45705,27.80384,27.78019,3.279294
Hgfac,25.81565,27.85442,27.66675,25.98644,26.80637,26.65403,28.1505,27.39387,27.50408,27.76294,0.667158
Alb,37.59502,37.62711,37.54797,37.66541,37.41832,38.05318,38.24298,38.52507,38.14314,38.2531,0.672728
Pf4,25.33579,25.38617,24.67632,24.22626,24.0554,28.32294,28.44967,28.94601,26.17003,28.16667,3.275076
C8b,33.04741,33.03151,32.95712,32.94658,32.88296,32.40434,32.58625,32.795,32.31794,32.45795,-0.46082
Igsf10,29.8034,29.54514,28.87596,29.6493,29.60229,30.31452,31.04244,31.67581,31.53848,31.26299,1.67163
Acta1,29.07743,29.4847,29.52113,28.57246,28.44427,29.39685,30.13589,29.35792,28.97878,29.23836,0.401562
Ecm1,28.75156,28.78069,28.70032,28.61077,28.668,28.36591,28.59452,28.00774,27.77687,28.13399,-0.526462
Actg1,29.07743,29.4847,29.52113,28.57246,28.44427,29.39685,30.13589,29.35792,28.97878,29.23836,0.401562
Mst1,24.91242,24.48093,25.0571,24.59474,24.59986,24.58726,24.54239,24.35998,24.82982,24.59588,-0.145944
Mmrn1,22.25281,27.15682,26.14847,25.59366,26.73428,27.59235,27.43682,22.97584,26.15515,27.44063,0.74295
Gpx3,29.38482,29.3652,29.36626,28.95521,29.56142,27.69205,27.20481,28.51217,28.85964,28.90124,-1.0926
Aldoa,23.4716,24.08497,24.0535,23.89791,23.98329,24.51015,24.54857,24.66758,24.42771,25.82163,0.896874
Gpx1,28.15166,28.21891,28.64997,27.99852,27.88174,28.19404,28.26289,28.21836,27.32199,28.16916,-0.146872
Apoc2,25.81103,25.43049,25.15623,25.76471,25.24071,26.77379,26.74535,27.55406,26.8735,27.23754,1.556214
Grn,25.37249,25.80848,26.00455,25.79258,25.93935,25.71091,26.19959,22.72875,26.08253,25.34719,-0.569696
Reln,24.94913,25.89804,26.37426,25.15545,25.27899,26.33166,26.207,22.11213,25.56793,25.94633,-0.298164
Igfals,28.17174,27.33219,27.46817,27.46217,27.19704,26.59491,27.65663,28.10704,27.18319,26.60201,-0.297506
Acta2,29.07743,29.4847,29.52113,28.57246,28.44427,29.39685,30.13589,29.35792,28.97878,29.23836,0.401562
F13a1,32.05342,32.05876,32.33666,31.92483,32.01837,31.86146,31.94684,32.29996,31.72143,31.9451,-0.12345
Hspa1a,23.31354,25.97248,24.79665,26.13061,25.82265,27.27106,27.04978,23.05861,25.38673,27.14092,0.774234
Mbl1,31.02499,31.17212,31.26997,31.19102,31.07788,30.90146,30.90333,30.60222,30.76462,31.1351,-0.28585
