name,r1_1_1_norm,r1_1_2_norm,r1_1_3_norm,r1_1_4_norm,r1_1_5_norm,r1_4_1_norm,r1_4_2_norm,r1_4_3_norm,r14_4_norm,FoldCh_norm
Mbl1,0.788367934,0.849348852,0.875739462,0.886452014,0.866433789,0.98445165,0.788692015,0.925041796,0.906568845,0.289338274
C1qb,0.944449476,0.851352935,0.852011505,0.845608451,0.899768481,0.631211926,0.952741296,0.785052694,0.788875294,-0.169234771
Sepp1,-0.334883568,-0.537169194,-0.516142051,-0.458853104,-0.840912853,-0.139531102,-0.403624182,-0.556747157,-0.551483068,0.373202653
C1qc,0.61116481,0.555285766,0.730457244,0.657763738,0.6955456,0.412871727,0.463160086,0.422103718,0.416862433,-0.716848508
C4b,1.497883538,1.435281222,1.431707075,1.467126826,1.439458766,1.449664553,1.39303868,1.44819584,1.456370236,0.148191692
Fbln1,-0.16272884,0.15300755,0.076969135,0.081283554,0.216777337,0.029752492,0.198965068,-0.002387623,0.121617471,0.08404577
Serpina6,-1.673815096,-1.650618927,-1.477216075,-1.490728742,-1.438228958,-1.118421811,-0.664595779,-1.098149859,-1.967181288,1.09966769
Tgm2,-1.421413347,-1.475945737,-1.461641196,-0.975011195,-1.496035859,-0.991647942,-1.497079079,-0.860961254,-0.889353477,0.866972174
Pglyrp2,-0.790330133,-0.929595339,-0.8924122,-0.949073154,-1.014861053,-1.042866843,-0.768204789,-0.857610885,-0.813089122,0.046154349
Serpina10,-0.25541203,-0.479617279,-0.37848905,-0.507877811,-0.489701879,-0.560161965,-0.378307548,-0.465343587,-0.485886398,-0.236832825
Itih2,0.94941257,0.828260556,0.902461669,0.872692446,0.872795251,0.886035775,1.064536631,0.915215596,0.92126755,0.381858444
Igj,0.852154028,0.926813335,0.942003833,0.871719466,0.899338085,0.647662289,0.765305399,0.598804704,0.73973041,-0.633104355
Apoc1,0.279555187,0.219607231,0.260915985,0.294331166,0.290393416,0.088148147,0.290875166,0.101274784,0.19904877,-0.307468115
Lum,-0.646090223,-0.744562377,-0.756144638,-0.702103655,-0.622337316,-0.841786847,-0.619736873,-0.897879952,-0.705509091,-0.352266159
Proz,-0.353156542,-0.697458414,-0.82407632,-0.743368842,-1.119205829,-0.850337873,-0.147817232,-0.491601077,-0.514521831,0.863166908
