name,r1_1_1_norm,r1_1_2_norm,r1_1_3_norm,r1_1_4_norm,r1_1_5_norm,r1_5_1_norm,r1_5_2_norm,r1_5_3_norm,r1_5_4_norm,r1_5_5_norm,FoldCh_norm
Serpina1d,0.333515906,0.266751276,0.285364583,0.133475854,0.22741389,0.56060165,0.854596176,0.541069177,0.599989425,0.50293447,1.047690093
Cfd,-0.888126344,-0.792844741,-0.550182349,-0.826718143,-0.669187491,-0.36435376,-0.356100848,-0.469655991,-0.18987733,-0.45996615,1.077604857
Fgg,2.283422363,2.438017401,2.44291216,2.407526073,2.373601697,2.41533011,2.472121307,2.414767497,2.445354597,2.402795781,0.168314817
Apoa4,0.645795313,0.675971636,0.730390764,0.579219881,0.629385343,0.880016871,0.904205259,0.809684835,0.847228785,0.836493126,0.600053236
F7,-0.70736375,-0.346035804,-0.501388861,-0.587197351,-0.537132039,-1.476795194,-1.347161511,-1.723300121,-1.888747982,-1.087248641,-2.808293082
Vwf,0.806116164,0.776736922,0.814679128,0.787962054,0.819586239,0.825707515,0.752396715,0.794981293,0.81168003,0.771677367,-0.011813291
C1qa,0.291957751,0.504296554,0.262192396,0.469202804,0.366686348,0.30758686,0.304017298,0.412269868,0.397331403,0.494295688,0.023071824
Cfi,0.691106808,0.684837698,0.733946102,0.757680736,0.749988064,0.683589768,0.642972216,0.648758022,0.639539103,0.633923247,-0.197830777
Serpina1e,0.569567881,0.555114751,0.711292457,0.722961546,0.783265019,0.713636073,0.823838385,0.712418518,0.881949316,0.749293043,0.326109767
Serpina1a,0.343077617,0.358872285,0.139207491,0.213068368,0.125118744,0.600238868,0.692434502,0.490697603,0.590466139,0.640072844,1.063552073
Serpina1b,1.130855004,1.074393997,1.105052103,1.125794426,1.121569363,1.392435174,1.378842499,1.444599156,1.348647457,1.388141074,0.827372329
Fn1,2.16825274,2.22984129,2.254335659,2.260603302,2.197047502,2.161002604,2.147565754,2.150849541,2.128310692,2.151215159,-0.168321601
Apob,-0.733735355,-0.866886251,-0.931797472,-0.868861716,-0.781263648,-0.483348926,-0.800137768,-0.67390517,-0.520596031,-0.462835263,0.701477548
B2m,0.602781834,0.36310758,-0.012589744,0.420080798,0.473524271,0.423465958,0.361876323,0.410422636,0.507319127,0.477117691,0.197129785
Trf,2.255409318,2.294335348,2.307484901,2.316465901,2.326712157,2.16390467,2.179364464,2.18585671,2.164729213,2.176127971,-0.317441224
C1s1,-0.241706654,-0.253853336,-0.219719417,-0.236929746,-0.155425937,-0.542945681,-0.535362935,-0.275617014,-0.567859363,-0.49655193,-0.763600039
C1ra,-0.165890227,-0.161710951,-0.202793669,-0.120574782,-0.269168566,-0.318588797,-0.5609882,-0.344405172,-0.28808557,-0.441850123,-0.597725232
C1s2,-1.512910047,-1.99884302,-1.859296556,-1.667732829,-1.614413118,-1.669041442,-1.674151211,-1.723884017,-1.828882134,-1.817921397,-0.075659202
Gc,0.954977956,0.973380204,1.016910572,0.977274345,0.971080367,1.003299893,0.95428142,0.98304596,0.904667079,0.920019695,-0.05438027
Serpina3m,0.001254878,-1.134767998,-1.13112508,0.472429856,-1.523418489,-1.40402692,-0.384576626,-1.581498529,-1.876155851,-1.454909132,-1.975686493
Cfh,1.319119107,1.332730966,1.367769496,1.322379747,1.318058239,1.28062732,1.244879026,1.255950594,1.217502356,1.190381873,-0.245100753
Crp,-0.132017113,-0.311749954,-0.246407054,-0.320465535,-0.254246423,-0.657501625,-0.857425623,-0.750167185,-0.6657872,-0.697279811,-1.3710051
Hpx,1.60470896,1.499791313,1.504513054,1.585679104,1.557025096,1.332577442,1.331010984,1.264618783,1.300628597,1.298354859,-0.676868034
Ttr,-0.169123993,0.047793199,-0.120417263,-0.099817863,-0.107801575,0.199323076,0.076542025,-0.091987296,0.064623925,0.029122028,0.421132778
Cp,1.552058808,1.53138902,1.545382154,1.49186756,1.564499289,1.477592036,1.505012432,1.505610892,1.472369692,1.47768623,-0.11301582
Serpinf2,0.966661906,0.976968849,0.772060281,0.824638017,0.906633821,0.924056774,0.908222134,0.907527084,0.808348957,0.832059756,-0.023235071
Apoe,0.988644275,0.859024564,0.891543032,0.885335789,0.931769995,0.968803926,0.997730403,0.938715048,0.939172115,0.976414147,0.169048521
Serpinc1,0.581644742,0.515669056,0.521216174,0.432205217,0.451975605,0.626472297,0.563926507,0.604403223,0.602448136,0.599009152,0.294053134
Hp,0.881425941,0.480648376,0.562345874,0.710201986,0.766374602,-0.458743995,-1.518488601,-1.690779815,-1.630988351,-1.633284132,-5.955349666
Klkb1,0.566145414,0.524615282,0.565619338,0.516278848,0.487666977,0.568410088,0.542350146,0.584054477,0.538228266,0.539486187,0.074993148
Apoa1,1.479163369,1.52545159,1.526185457,1.448840196,1.474856209,1.886673805,1.937054775,1.908065936,1.897679964,1.900255523,1.228410632
Lrp1,-0.800783649,-0.622874466,-0.846142284,-0.936197378,-0.854890224,-0.929001431,-0.942121648,-0.951096125,-0.822407351,-0.853907195,-0.268471425
Hspa5,-1.204999197,-0.540052401,-0.845639697,-0.481237062,-0.512730688,-0.974518465,-1.031971551,-0.589235064,-1.057135066,-0.924165097,-0.580649527
Hspa1l,-1.204999197,-0.540052401,-0.845639697,-0.481237062,-0.512730688,-0.974518465,-1.031971551,-0.589235064,-1.057135066,-0.924165097,-0.580649527
Psmb1,-0.204542905,-0.59026403,-0.57951854,-0.294927497,-0.428947816,-0.737665993,-0.330846576,-0.650634294,-0.771535141,-0.701527147,-0.64732392
Tns4,-0.381151492,-0.063965149,-0.104549873,-0.072760894,0.071859869,0.047040267,0.049905201,-0.15346084,0.135010045,-0.373373953,0.149852214
Efemp1,-0.066023476,0.047715708,0.12518292,0.060894205,0.014551598,-0.137533251,-0.241818731,0.031469372,-0.085354851,-0.063237218,-0.388757852
Psma6,-0.165670507,-0.073656894,-0.025563935,-0.145739844,-0.080358584,-0.069856643,-0.144799839,-0.074443901,-0.048871422,-0.037766305,0.066089962
Thbs4,-0.587758362,0.446485444,0.080753164,0.226657664,-0.328828269,-0.24734985,-0.135327485,0.155945203,0.212790472,0.062031674,0.137114931
Psmb5,-0.766062673,-0.503134523,-0.609641851,-0.290022053,-0.409868678,-0.465646842,-0.26348317,-0.518716454,-0.342000663,-0.349915349,0.363865897
Ywhaz,-1.392720461,-1.197789724,-1.283172279,-1.272183789,-0.962749025,-1.577657664,-1.787483156,-1.169942683,-1.528384549,-1.252459782,-0.720925207
Hbb-bs,1.049057016,1.030074373,1.086562751,1.074702135,1.065465675,1.342097891,1.314164127,1.380429079,1.326937065,1.343867643,0.831180601
Psmb8,-0.214208013,-0.439351246,-0.215392914,-0.35829556,-1.269151581,-0.274392308,-0.37987915,-0.547430825,-0.467945343,-0.457707542,0.206303362
Psma7,0.127813767,0.146631894,0.102550549,-0.079387973,0.036472923,0.142176897,0.054039514,-0.146379784,0.016838733,0.134689675,-0.07587187
Psma1,0.146663183,-0.12608103,0.038211433,-0.020076699,0.037071279,0.260196009,0.088005468,0.264162208,0.063928112,0.177584884,0.446575442
Spata5,-1.354313354,-1.535165049,-1.419532913,-1.472474545,-1.410263718,-1.070317978,-0.935446428,-1.063421628,-1.078253498,-1.204284881,1.030295386
Mad2l1,-1.238859387,-1.397163903,-1.982236255,-1.591483584,-1.60534331,-0.352857714,-0.200334147,-0.187082584,-0.261457756,-0.652678856,3.520495569
Psma5,-0.20220353,-0.29384147,-0.219796534,-0.252997439,-0.26722916,0.107652223,-0.064627803,-0.104081888,-0.070802501,0.102356472,0.692527272
Psma4,-0.670538629,-0.877459792,-0.818702096,-0.920086441,-0.942145131,-0.943133347,-0.789042651,-0.769340179,-0.88846022,-0.730920492,0.041074153
Hspa2,-1.204999197,-0.540052401,-0.845639697,-0.481237062,-0.512730688,-0.974518465,-1.031971551,-0.589235064,-1.057135066,-0.924165097,-0.580649527
Fap,-1.516717671,-1.446675438,-1.442593414,-1.597553902,-1.553950359,-1.589216345,-1.500435347,-1.73427735,-1.68010026,-1.729953598,-0.422369997
Mfap4,-1.673380825,-1.665828579,-1.734612428,-1.473666446,-1.6064193,-2.221123061,-1.451968605,-2.365643182,-2.335135146,-2.227780125,-1.451616829
Pkm,0.336734162,0.102141254,0.254153663,0.100575596,0.201710854,-0.129910107,-0.139053438,-0.004254395,-0.26162392,-0.13293964,-0.961753262
Loxl1,-0.888433952,-0.30212234,-0.269446281,-0.216486343,-1.94124111,-0.923899327,-0.86173876,-0.84444502,-0.456482609,-0.924542405,-0.221537161
Psmb3,-1.904679086,-1.181839897,-1.439269425,-1.08479854,-1.046369186,-1.353783588,-1.77485602,-2.052362198,-1.256885214,-1.322211987,-0.646031203
Psma3,-0.018545798,0.038518304,0.177917328,0.045188677,0.13611746,-0.123787582,-0.248744839,0.040745343,-0.176176572,0.153429308,-0.421250453
Ubtfl1,-0.050330277,0.209370376,0.187168652,0.255103832,0.260790572,0.583210105,0.574613265,0.630500682,0.675965413,-1.358682478,0.144470199
Ces3a,-0.572145296,-0.536108366,-0.492876792,-0.530532043,-0.389104698,-0.562427629,-0.593382101,-0.871819087,-0.826924941,-0.910927873,-0.730045618
Actg2,0.284934457,0.398451586,0.410689576,0.178727559,0.175278244,-0.105730569,-0.142709996,-0.059737705,-0.283155166,0.132753351,-1.096131969
Actc1,0.284934457,0.398451586,0.410689576,0.178727559,0.175278244,-0.105730569,-0.142709996,-0.059737705,-0.283155166,0.132753351,-1.096131969
Pzp,2.665647787,2.676142526,2.640282603,2.713593332,2.664696328,2.620293777,2.626756343,2.617503857,2.582769801,2.581362055,-0.137667057
Lifr,0.041905717,0.098525889,0.103603588,0.162043645,0.098421073,0.039242268,0.097274976,-0.007144676,0.041776346,0.002506089,-0.187853619
Rpl13,-1.156862358,-1.1428351,-1.343405605,-1.635878526,-1.362542255,-1.336525166,-1.496194274,-1.130728815,-1.262386807,-1.32534574,0.021422129
Psmb4,-0.85745856,-1.035424275,-0.949760304,-1.007565503,-0.959056543,-1.431954091,-1.063583429,-1.173018749,-1.122993211,-1.053783513,-0.621682259
Psmd2,-1.774098023,-1.542935546,-1.639852171,-1.342860018,-1.621601255,-1.224766897,-1.612552888,-1.398166066,-1.867621761,-1.759831679,0.005953585
Psmb6,-0.516488853,-0.003444519,-0.03734149,-0.034438973,0.006576151,0.039137877,0.08778127,0.149509086,0.20767573,0.178997169,0.725949536
Ric8,-0.772310484,-0.631981018,-0.324252199,-1.741230701,-0.18238342,-0.26337385,-0.531161897,-0.509191001,-0.385756372,-0.361056417,0.900508785
Cps1,-0.891944307,-1.529195554,-1.702164984,-1.483180034,-0.974432701,-0.737164917,-0.84500934,-1.652022447,-1.565600139,-1.657780333,0.030838756
Psmc2,-1.566317588,-1.783925174,-1.521031558,-1.703516893,-1.677222059,-0.985476898,-1.050470532,-0.676431844,-0.861157364,-1.059212557,2.055193162
Ica,1.00405313,1.032538058,1.058327465,1.07528322,1.058568843,0.906798352,0.859400413,0.827329085,0.870465811,0.829494585,-0.518023417
Qsox1,-0.047944374,-0.170162836,-0.253624097,-0.045633655,-0.13477218,-0.428405395,-0.231615066,-0.428663897,-0.318475446,-0.345073229,-0.639467364
Lap3,-0.266279137,-0.24498193,-0.242588456,-0.182853647,-0.29601845,-0.598259799,-0.551590579,-0.49237482,-0.631310723,-0.704055635,-1.013071521
Pltp,-1.042571616,-0.628547356,-0.932805305,-0.660022245,-0.595663264,-0.76838823,-0.701261238,-0.756950986,-0.5960917,-0.593129689,0.246365418
Rpl7,-1.599622015,-2.170758592,-1.140690188,-1.390582013,-1.168895567,-0.929721728,-1.687069269,-0.534550629,-0.783267891,-1.431164927,1.188562763
Il1rap,-0.533575337,-0.663127138,-0.711866455,-0.568572881,-0.620476641,-0.559475977,-0.607429156,-0.464220458,-0.417008225,-0.57189039,0.26330289
Amy2a2,-0.421647235,-0.483246005,-0.439049457,-0.516710313,-0.458713371,-0.617170208,-0.905323863,-0.792841959,-0.628348327,-0.771879377,-0.814167885
