name,2_1_1,2_1_2,2_1_3,2_1_4,2_1_5,2_7_1,2_7_2,2_7_3,2_7_4,FC_7
Pigr,-1.338580295,-1.551278293,-1.451956737,-1.192270267,-1.358369153,0.312921446,0.350586453,0.438604426,0.399974999,0.877966057
Pkm,0.653220653,-0.350725411,-0.186693634,0.142805216,-0.142395153,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.428512684
Plg,1.923293631,1.947239468,1.833870118,1.729818538,1.769496606,1.049925747,1.077559081,1.100262804,1.080686671,0.660492913
Pltp,-0.318470778,-0.215869857,-0.496988119,-0.91281816,-0.672911487,0.534076683,0.505566546,0.49714478,0.495500636,0.760856249
Pon1,-0.315944978,-0.284021761,-0.24263871,0.042674117,0.258727535,0.779348527,0.733662861,0.732886906,0.720540079,0.89396406
Prdx2,-1.246507875,-0.270835302,-0.653567482,-1.161448177,-0.320664493,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.186798254
Pros1,-1.165163622,-1.46991107,-1.304244561,-1.641518055,-1.006729473,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-0.998497341
Proz,-0.965091199,-1.030462995,-1.069173064,-1.469571412,-1.080576497,0.468562457,0.473646612,0.543332681,0.501164617,0.938587261
Psma1,0.635633407,0.153946576,0.135250754,-0.195666846,0.101942827,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.473161173
Psma3,0.139469253,-0.582653351,-0.018094789,-0.710998456,-0.451060804,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.314197415
Psma4,-0.739662231,-0.814114282,-0.927721997,-0.880067969,-0.75433684,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.156827389
Psma5,-0.439133494,-0.21406741,-0.389769342,-0.22132062,-1.24959799,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.255128866
Psma6,-0.217848498,0.336140627,0.069878687,0.204845031,-0.23761011,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.429352806
Psma7,1.179191324,0.707767377,1.161722109,0.277627129,0.019905397,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.629900943
Psmb1,-1.029722123,-0.573347269,-0.770031179,-0.521268201,-0.278107249,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.219522705
Psmb10,-1.398022177,-1.834044679,-1.749965426,-1.357909261,-1.09443755,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-0.946496472
Psmb2,-1.243313023,-1.22133083,-1.236269133,-1.214786493,-1.122836038,0.374707731,0.491040314,0.445869571,0.494287639,0.911423312
Psmb3,-1.423329451,-1.226066516,-1.201428126,-1.17564602,-0.785014542,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-1.049543617
Psmb4,-1.281718671,-1.418175337,-1.524992141,-1.13639537,-1.238704441,-1.222617175,-1.222788834,-1.22300701,-1.222561599,-0.998145865
