name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FC_r1_2,r2_1_1,r2_1_2,r2_1_3,r2_1_4,r2_1_5,r2_2_1,r2_2_2,r2_2_3,r2_2_4,r2_2_5,FC_r2_2
Gpld1,0.520927449,0.557627606,0.564614467,0.532431586,0.528887738,0.589703152,0.609079952,0.590065732,0.61942328,0.591900255,0.464993721,0.449232175,0.478295215,0.429937459,0.626890208,0.400026537,0.663162701,0.47241131,0.593029552,0.581945983,0.514224105,0.36303946
Itih4,0.782489053,0.731113517,0.748955204,0.719493434,0.754354562,0.670715428,0.649840956,0.742120173,0.681605506,0.685922304,-0.406554005,0.451604171,0.419915011,0.437514929,0.535859299,0.617781668,0.728081479,0.461756633,0.776058908,0.809187277,0.774564146,0.875238568
Sepp1,0.105713533,0.016552547,0.025568337,0.055737262,-0.133895615,-0.019099535,0.201328494,0.23061149,0.209796869,0.11996659,0.989619727,0.462587893,-0.101697691,0.099498775,-0.069543353,-0.180205639,-0.13111485,-0.056768942,0.001542122,-0.347655691,-0.491448606,-0.976843451
Klkb1,0.534491916,0.508562559,0.528931224,0.504514543,0.494913881,0.511581524,0.506406439,0.616841029,0.514054196,0.522022221,0.176411891,0.468567175,0.427830619,0.464003127,0.502860883,0.477625089,0.751466194,0.556577317,0.747850833,0.814145027,0.749468373,1.026542784
Gpx3,0.438482747,0.435304257,0.437676508,0.396774461,0.485822968,0.219932387,0.13482072,0.304129935,0.358947957,0.356034723,-1.178677107,0.483042563,0.396456964,0.440489787,0.50002098,0.542092101,-0.017416755,0.667310325,-0.262325349,-0.016581459,-0.194106933,-1.719678361
F13a1,0.766750974,0.768821762,0.805224553,0.766151613,0.791000171,0.734987885,0.717932541,0.765650754,0.711573482,0.729787473,-0.304417702,0.484186574,0.646791562,0.388244294,0.454188431,0.551399615,0.7663116,0.588531651,0.821513875,0.716651904,0.768024598,0.915938498
Mbl2,0.44940739,0.413376914,0.43023126,0.403455197,0.483120163,0.36324308,0.356261628,0.469285081,0.427931845,0.401960293,-0.21041824,0.486352892,0.552794185,0.560189403,0.644295833,0.645678774,0.854539044,0.670745128,0.862420939,0.685232635,0.771570818,0.773875051
C8g,0.711368781,0.650269981,0.66697828,0.685491461,0.710304808,0.588439419,0.57200303,0.590921079,0.596029012,0.578138055,-0.693540942,0.503579992,0.6380598,0.537747402,0.779887275,0.891993583,0.653462124,0.717719756,0.663960723,0.652416766,0.507554464,-0.105461058
Mbl1,0.640242358,0.659037699,0.673235654,0.674876417,0.674182121,0.616397179,0.589615551,0.558790724,0.593676771,0.630328323,-0.45091693,0.504857876,0.562334761,0.716525656,0.704945111,0.497608869,0.712096532,0.452659375,0.541701663,0.590096654,0.673086109,0.005433915
Cfi,0.593958088,0.582806471,0.607256672,0.615613029,0.619069003,0.550095091,0.58407959,0.627334264,0.573852143,0.592682421,-0.097545275,0.514916652,0.489688355,0.455376281,0.521794381,0.574575131,0.541757017,0.53470802,0.422344163,0.648140964,0.587909362,0.155789575
