name,r1_1_1,r1_1_2,r1_1_3,r1_1_4,r1_1_5,r1_2_1,r1_2_2,r1_2_3,r1_2_4,r1_2_5,FC_r1_2,r2_1_1,,,,,,,,,
Igfals,0.288518698,0.179781143,0.199578122,0.208071493,0.188563292,0.077697697,0.186827876,0.253026321,0.147681963,0.066735587,-0.461431678,0.328729087,,,,,,,,,
Psma3,0.254551021,0.282460218,0.349578281,0.286991152,0.328961057,0.270356127,0.285914514,0.290152556,0.278355034,0.27725715,-0.125623693,0.337977278,,,,,,,,,
C1ra,0.182396605,0.186942458,0.167215506,0.208440348,0.131495572,0.068356112,0.068830463,0.10659203,0.064959089,-0.037890191,-0.853742901,0.351622252,,,,,,,,,
A2mp,0.074704865,0.18093093,0.13046476,-0.084539601,0.145262867,0.104181205,0.066043212,0.212873083,0.287230519,0.268866262,0.707585258,0.357180711,,,,,,,,,
C1qa,0.40660429,0.504655997,0.389946527,0.487919938,0.441299984,0.294474355,0.391955356,0.399250039,0.467137296,0.376703071,-0.402637135,0.363652184,,,,,,,,,
Ecm1,0.361914908,0.364422724,0.35652541,0.355178147,0.376648552,0.302907977,0.305544253,0.240579883,0.222977737,0.26033005,-0.667970332,0.364471008,,,,,,,,,
Cpn1,0.430098368,0.37140303,0.411589114,0.37440729,0.393786386,0.367336429,0.371395268,0.46221172,0.38649949,0.38574855,0.011670622,0.365725617,,,,,,,,,
Masp2,0.243091328,0.193946983,0.20186963,0.229778882,0.204584858,0.216309474,0.242852629,0.3110909,0.25101453,0.24768938,0.292267161,0.379945777,,,,,,,,,
Serpinf2,0.737006221,0.730140524,0.634176199,0.656351038,0.704375893,0.675484115,0.647600173,0.7342485,0.632122655,0.556122747,-0.269090098,0.384804719,,,,,,,,,
Tns4,0.076983385,0.233571308,0.214274854,0.231098052,0.297653152,0.207692733,0.102172412,-0.389904298,-0.267959131,-0.232475385,-2.323364707,0.398530069,,,,,,,,,
Itih3,0.379686102,0.318502611,0.34393549,0.344665772,0.353774666,0.246264603,0.249408111,0.335590203,0.270517008,0.274890262,-0.49859413,0.416103389,,,,,,,,,
